document_id,clean_text,sentiment
doc67,dell best amaz one isnt even xpsrecipi amaz speed,positive
doc68,realli fast startup nice screen qualiti everyth want,positive
doc69,meet expectationsso far,positive
doc70,thing didnt like one screw screw complet,positive
doc71,beauti fast,positive
doc72,satisfi purchas,positive
doc73,good laptop high perform work fast smooth,positive
doc74,happi product,positive
doc75,best laptop,positive
doc76,fast perfect comput,positive
doc77,great product,positive
doc78,great,positive
doc79,got gift best friend went load ram sata drive cannot believ fast soon hit last digit password sign boom load backlit god send o super slim lightweight laptop troubl wait cach chrome noth ever get hung never wait page load touch pad odd went reset whole thing never problem anymor went taskmanag turn thing run background set open set click privaci click background app choos app run background section turn toggl switch app want restrict made faster also use thing sometm hour day joy happi seller made build possibl,positive
doc80,bought mine costco thank super easi return fan louder airplan serious loud give headach might overlook didnt spend time comput wait someth happen soooo sloooowwww year old comput kid run program load page faster piec junk brand new pretti much give dell point,negative
